deduplicated_bullet_id,duplicate_count,normalized_match_key,all_source_references,bullet_id,original_zip_name,source_project_zip,source_project,source_project_id,source_tex_file,source_line_number,section_name,experience_id,experience_title,organization,date,bullet_text,raw_bullet_tex,detected_tools,possible_role_tags
dedup_b000001,1,"configured, tested, and validated copilot studio and ut spark enterprise systems, defining accuracy metrics, failure patterns, and testing protocols to ensure system readiness prior to deployment.",Overleaf Projects (77 items).zip | 26 summer_ Enterprise Systems_USTA (26 summer_ Enterprise Systems_USTA.zip) | main.tex:234,raw_b000001,Overleaf Projects (77 items).zip,26 summer_ Enterprise Systems_USTA.zip,26 summer_ Enterprise Systems_USTA,project_001_26_summer_enterprise_systems_usta,main.tex,234,PROFESSIONAL EXPERIENCE,raw_e000004,Graduate Assistant,"AI-Powered Career Systems, UT Career Success",Sep. 2025 – Present,"Configured, tested, and validated Copilot Studio and UT Spark enterprise systems, defining accuracy metrics, failure patterns, and testing protocols to ensure system readiness prior to deployment.","Configured, tested, and validated Copilot Studio and UT Spark enterprise systems, defining accuracy metrics, failure patterns, and testing protocols to ensure system readiness prior to deployment.",Copilot Studio; UT Spark,
dedup_b000002,1,"led end-to-end system testing and readiness validation for a sharepoint-based enterprise knowledge platform, conducting task-based tests to ensure configurations aligned with business and operational requirements.",Overleaf Projects (77 items).zip | 26 summer_ Enterprise Systems_USTA (26 summer_ Enterprise Systems_USTA.zip) | main.tex:238,raw_b000002,Overleaf Projects (77 items).zip,26 summer_ Enterprise Systems_USTA.zip,26 summer_ Enterprise Systems_USTA,project_001_26_summer_enterprise_systems_usta,main.tex,238,PROFESSIONAL EXPERIENCE,raw_e000004,Graduate Assistant,"AI-Powered Career Systems, UT Career Success",Sep. 2025 – Present,"Led end-to-end system testing and readiness validation for a SharePoint-based enterprise knowledge platform, conducting task-based tests to ensure configurations aligned with business and operational requirements.","Led end-to-end system testing and readiness validation for a SharePoint-based enterprise knowledge platform, conducting task-based tests to ensure configurations aligned with business and operational requirements.",SharePoint,
dedup_b000003,8,designed metadata schemas and automated update pipelines (powerautomate) to improve data discoverability and maintain consistent data structures across multi-portal platforms.,Overleaf Projects (77 items).zip | 26 summer_ Enterprise Systems_USTA (26 summer_ Enterprise Systems_USTA.zip) | main.tex:239 || Overleaf Projects (77 items).zip | 26 summer_ US Open and Enterprise Systems (26 summer_ US Open and Enterprise Systems.zip) | main.tex:324 || Overleaf Projects (77 items).zip | 26 summer_Data_TROON (26 summer_Data_TROON.zip) | main.tex:322 || Overleaf Projects (77 items).zip | 26 summer_Data_USA Baseball (26 summer_Data_USA Baseball.zip) | main.tex:322 || Overleaf Projects (77 items).zip | ziyuan_guo_Analyst_Roku (ziyuan_guo_Analyst_Roku.zip) | main.tex:322 || Overleaf Projects (77 items).zip | ziyuan_guo_Analyst_Tesla (ziyuan_guo_Analyst_Tesla.zip) | main.tex:322 || Overleaf Projects (77 items).zip | ziyuan_guo_Data Analyst_ALO (ziyuan_guo_Data Analyst_ALO.zip) | main.tex:322 || Overleaf Projects (77 items).zip | ziyuan_guo_Data_cocacola (ziyuan_guo_Data_cocacola.zip) | main.tex:266,raw_b000003,Overleaf Projects (77 items).zip,26 summer_ Enterprise Systems_USTA.zip,26 summer_ Enterprise Systems_USTA,project_001_26_summer_enterprise_systems_usta,main.tex,239,PROFESSIONAL EXPERIENCE,raw_e000004,Graduate Assistant,"AI-Powered Career Systems, UT Career Success",Sep. 2025 – Present,Designed metadata schemas and automated update pipelines (PowerAutomate) to improve data discoverability and maintain consistent data structures across multi-portal platforms.,Designed metadata schemas and automated update pipelines (PowerAutomate) to improve data discoverability and maintain consistent data structures across multi-portal platforms.,Power Automate,
dedup_b000004,1,"supported operational execution of a 6-month, multi-project study and captured multimodal sensor data from 180+ participants; performed data cleaning, calibration checks, and quality validation to ensure accurate system inputs across 30 products.",Overleaf Projects (77 items).zip | 26 summer_ Enterprise Systems_USTA (26 summer_ Enterprise Systems_USTA.zip) | main.tex:257,raw_b000004,Overleaf Projects (77 items).zip,26 summer_ Enterprise Systems_USTA.zip,26 summer_ Enterprise Systems_USTA,project_001_26_summer_enterprise_systems_usta,main.tex,257,PROFESSIONAL EXPERIENCE,raw_e000005,Cognitive Sciences Lab Technician (Contractor),"L'Oreal R&I Center, Shanghai",Jul. 2024 – Jul. 2025,"Supported operational execution of a 6-month, multi-project study and captured multimodal sensor data from 180+ participants; performed data cleaning, calibration checks, and quality validation to ensure accurate system inputs across 30 products.","Supported operational execution of a 6-month, multi-project study and captured multimodal sensor data from 180+ participants; performed data cleaning, calibration checks, and quality validation to ensure accurate system inputs across 30 products.",R,
dedup_b000005,19,"led a voice analysis project on a hair dye product, designing baseline vs product-phase protocols and analyzing consumer speech data (on-site & home-use, n=25) with r; identified stage-specific emotional response patterns and recommended improvements to future testing guidelines.",Overleaf Projects (77 items).zip | 26 summer_ Enterprise Systems_USTA (26 summer_ Enterprise Systems_USTA.zip) | main.tex:259 || Overleaf Projects (77 items).zip | 26 summer_ US Open and Enterprise Systems (26 summer_ US Open and Enterprise Systems.zip) | main.tex:298 || Overleaf Projects (77 items).zip | 26 summer_Data_MLB (26 summer_Data_MLB.zip) | main.tex:259 || Overleaf Projects (77 items).zip | 26 summer_Data_TROON (26 summer_Data_TROON.zip) | main.tex:296 || Overleaf Projects (77 items).zip | 26 summer_Data_USA Baseball (26 summer_Data_USA Baseball.zip) | main.tex:296 || Overleaf Projects (77 items).zip | 26 summer_PM_711 (26 summer_PM_711.zip) | main.tex:259 || Overleaf Projects (77 items).zip | 26 summer_PM_KEEN (26 summer_PM_KEEN.zip) | main.tex:259 || Overleaf Projects (77 items).zip | 26 summer_PM_Lucid (26 summer_PM_Lucid.zip) | main.tex:237 || Overleaf Projects (77 items).zip | 26 summer_PM_MLB (26 summer_PM_MLB.zip) | main.tex:259 || Overleaf Projects (77 items).zip | 26 summer_Product_Cloudflare (26 summer_Product_Cloudflare.zip) | main.tex:259 || Overleaf Projects (77 items).zip | 26 summer_Wearables Intern (26 summer_Wearables Intern.zip) | main.tex:237 || Overleaf Projects (77 items).zip | 26 summer_tech PM (v1) (26 summer_tech PM (v1).zip) | main.tex:237 || Overleaf Projects (77 items).zip | ziyuan_guo_Analyst_Roku (ziyuan_guo_Analyst_Roku.zip) | main.tex:296 || Overleaf Projects (77 items).zip | ziyuan_guo_Analyst_Tesla (ziyuan_guo_Analyst_Tesla.zip) | main.tex:296 || Overleaf Projects (77 items).zip | ziyuan_guo_Data Analyst_ALO (ziyuan_guo_Data Analyst_ALO.zip) | main.tex:296 || Overleaf Projects (77 items).zip | ziyuan_guo_Data_cocacola (ziyuan_guo_Data_cocacola.zip) | main.tex:240 || Overleaf Projects (77 items).zip | ziyuan_guo_PLM_Hyundai (ziyuan_guo_PLM_Hyundai.zip) | main.tex:237 || Overleaf Projects (77 items).zip | ziyuan_guo_PM_waabi (ziyuan_guo_PM_waabi.zip) | main.tex:259 || Overleaf Projects (77 items).zip | ziyuan_guo_ops_TI (ziyuan_guo_ops_TI.zip) | main.tex:259,raw_b000005,Overleaf Projects (77 items).zip,26 summer_ Enterprise Systems_USTA.zip,26 summer_ Enterprise Systems_USTA,project_001_26_summer_enterprise_systems_usta,main.tex,259,PROFESSIONAL EXPERIENCE,raw_e000005,Cognitive Sciences Lab Technician (Contractor),"L'Oreal R&I Center, Shanghai",Jul. 2024 – Jul. 2025,"Led a Voice Analysis project on a hair dye product, designing baseline vs product-phase protocols and analyzing consumer speech data (on-site & home-use, N=25) with R; identified stage-specific emotional response patterns and recommended improvements to future testing guidelines.","Led a Voice Analysis project on a hair dye product, designing baseline vs product-phase protocols and analyzing consumer speech data (on-site \& home-use, N=25) with R; identified stage-specific emotional response patterns and recommended improvements to future testing guidelines.",R,
dedup_b000006,1,"built a python-based automation tool to streamline qualitative-physiological data synthesis in a 32-participant luxury packaging study, improving accuracy and efficiency of datasets used for analysis and reporting.",Overleaf Projects (77 items).zip | 26 summer_ Enterprise Systems_USTA (26 summer_ Enterprise Systems_USTA.zip) | main.tex:260,raw_b000006,Overleaf Projects (77 items).zip,26 summer_ Enterprise Systems_USTA.zip,26 summer_ Enterprise Systems_USTA,project_001_26_summer_enterprise_systems_usta,main.tex,260,PROFESSIONAL EXPERIENCE,raw_e000005,Cognitive Sciences Lab Technician (Contractor),"L'Oreal R&I Center, Shanghai",Jul. 2024 – Jul. 2025,"Built a Python-based automation tool to streamline qualitative–physiological data synthesis in a 32-participant luxury packaging study, improving accuracy and efficiency of datasets used for analysis and reporting.","Built a Python-based automation tool to streamline qualitative–physiological data synthesis in a 32-participant luxury packaging study, improving accuracy and efficiency of datasets used for analysis and reporting.",Python; R,
dedup_b000007,8,"analyzed rally-level us open match data (10k+ shots) and built multi-view tableau dashboards highlighting serve-return patterns, key-point pressure, and mid-rally performance drop-offs.",Overleaf Projects (77 items).zip | 26 summer_ Enterprise Systems_USTA (26 summer_ Enterprise Systems_USTA.zip) | main.tex:283 || Overleaf Projects (77 items).zip | 26 summer_ US Open and Enterprise Systems (26 summer_ US Open and Enterprise Systems.zip) | main.tex:237 || Overleaf Projects (77 items).zip | Ziyuan_Guo_Consumer_market_iff (Ziyuan_Guo_Consumer_market_iff.zip) | main.tex:297 || Overleaf Projects (77 items).zip | Ziyuan_Guo_Product_Bluebeam (Ziyuan_Guo_Product_Bluebeam.zip) | main.tex:320 || Overleaf Projects (77 items).zip | Ziyuan_Guo_test_Bertec (Ziyuan_Guo_test_Bertec.zip) | main.tex:295 || Overleaf Projects (77 items).zip | ziyuan_guo_PLM_Hyundai (ziyuan_guo_PLM_Hyundai.zip) | main.tex:284 || Overleaf Projects (77 items).zip | ziyuan_guo_QA_volvo (ziyuan_guo_QA_volvo.zip) | main.tex:299 || Overleaf Projects (77 items).zip | ziyuan_guo_ops_sono bello (ziyuan_guo_ops_sono bello.zip) | main.tex:298,raw_b000007,Overleaf Projects (77 items).zip,26 summer_ Enterprise Systems_USTA.zip,26 summer_ Enterprise Systems_USTA,project_001_26_summer_enterprise_systems_usta,main.tex,283,RESEARCH EXPERIENCE,raw_e000006,US Open Performance Systems Dashboard (Tableau),Course Project,Aug. 2025 - Nov. 2025,"Analyzed rally-level US Open match data (10k+ shots) and built multi-view Tableau dashboards highlighting serve-return patterns, key-point pressure, and mid-rally performance drop-offs.","Analyzed rally-level US Open match data (10k+ shots) and built multi-view Tableau dashboards highlighting serve-return patterns, key-point pressure, and mid-rally performance drop-offs.",Tableau,
dedup_b000008,8,"defined and validated 6+ performance metrics and framed insights into actionable narratives, supporting performance review and strategy analysis.",Overleaf Projects (77 items).zip | 26 summer_ Enterprise Systems_USTA (26 summer_ Enterprise Systems_USTA.zip) | main.tex:285 || Overleaf Projects (77 items).zip | 26 summer_ US Open and Enterprise Systems (26 summer_ US Open and Enterprise Systems.zip) | main.tex:239 || Overleaf Projects (77 items).zip | Ziyuan_Guo_Consumer_market_iff (Ziyuan_Guo_Consumer_market_iff.zip) | main.tex:299 || Overleaf Projects (77 items).zip | Ziyuan_Guo_Product_Bluebeam (Ziyuan_Guo_Product_Bluebeam.zip) | main.tex:322 || Overleaf Projects (77 items).zip | Ziyuan_Guo_test_Bertec (Ziyuan_Guo_test_Bertec.zip) | main.tex:297 || Overleaf Projects (77 items).zip | ziyuan_guo_PLM_Hyundai (ziyuan_guo_PLM_Hyundai.zip) | main.tex:286 || Overleaf Projects (77 items).zip | ziyuan_guo_QA_volvo (ziyuan_guo_QA_volvo.zip) | main.tex:301 || Overleaf Projects (77 items).zip | ziyuan_guo_ops_sono bello (ziyuan_guo_ops_sono bello.zip) | main.tex:300,raw_b000008,Overleaf Projects (77 items).zip,26 summer_ Enterprise Systems_USTA.zip,26 summer_ Enterprise Systems_USTA,project_001_26_summer_enterprise_systems_usta,main.tex,285,RESEARCH EXPERIENCE,raw_e000006,US Open Performance Systems Dashboard (Tableau),Course Project,Aug. 2025 - Nov. 2025,"Defined and validated 6+ performance metrics and framed insights into actionable narratives, supporting performance review and strategy analysis.","Defined and validated 6+ performance metrics and framed insights into actionable narratives, supporting performance review and strategy analysis.",Tableau,
dedup_b000009,3,"applied visual hierarchy and ux storytelling principles to design interpretable, interactive dashboards with filters and drill-downs, ensuring consistent and accurate reporting across matches.",Overleaf Projects (77 items).zip | 26 summer_ Enterprise Systems_USTA (26 summer_ Enterprise Systems_USTA.zip) | main.tex:287 || Overleaf Projects (77 items).zip | 26 summer_ US Open and Enterprise Systems (26 summer_ US Open and Enterprise Systems.zip) | main.tex:241 || Overleaf Projects (77 items).zip | ziyuan_guo_PLM_Hyundai (ziyuan_guo_PLM_Hyundai.zip) | main.tex:288,raw_b000009,Overleaf Projects (77 items).zip,26 summer_ Enterprise Systems_USTA.zip,26 summer_ Enterprise Systems_USTA,project_001_26_summer_enterprise_systems_usta,main.tex,287,RESEARCH EXPERIENCE,raw_e000006,US Open Performance Systems Dashboard (Tableau),Course Project,Aug. 2025 - Nov. 2025,"Applied visual hierarchy and UX storytelling principles to design interpretable, interactive dashboards with filters and drill-downs, ensuring consistent and accurate reporting across matches.","Applied visual hierarchy and UX storytelling principles to design interpretable, interactive dashboards with filters and drill-downs, ensuring consistent and accurate reporting across matches.",Tableau,
dedup_b000010,8,"conducted evaluations of human-robot arm interactions, annotating and coding 17+ hours of event-level videos to extract timing, behavioral, and safety performance metrics using python-based analysis.",Overleaf Projects (77 items).zip | 26 summer_ Enterprise Systems_USTA (26 summer_ Enterprise Systems_USTA.zip) | main.tex:304 || Overleaf Projects (77 items).zip | 26 summer_ US Open and Enterprise Systems (26 summer_ US Open and Enterprise Systems.zip) | main.tex:258 || Overleaf Projects (77 items).zip | 26 summer_Data_TROON (26 summer_Data_TROON.zip) | main.tex:256 || Overleaf Projects (77 items).zip | 26 summer_Data_USA Baseball (26 summer_Data_USA Baseball.zip) | main.tex:256 || Overleaf Projects (77 items).zip | ziyuan_guo_Analyst_Roku (ziyuan_guo_Analyst_Roku.zip) | main.tex:256 || Overleaf Projects (77 items).zip | ziyuan_guo_Analyst_Tesla (ziyuan_guo_Analyst_Tesla.zip) | main.tex:256 || Overleaf Projects (77 items).zip | ziyuan_guo_Data Analyst_ALO (ziyuan_guo_Data Analyst_ALO.zip) | main.tex:256 || Overleaf Projects (77 items).zip | ziyuan_guo_Data_cocacola (ziyuan_guo_Data_cocacola.zip) | main.tex:302,raw_b000010,Overleaf Projects (77 items).zip,26 summer_ Enterprise Systems_USTA.zip,26 summer_ Enterprise Systems_USTA,project_001_26_summer_enterprise_systems_usta,main.tex,304,RESEARCH EXPERIENCE,raw_e000007,Research intern,"Lab of Engineering Psychology, Chinese Academy of Sciences",Nov. 2023 - Jun. 2024,"Conducted evaluations of human–robot arm interactions, annotating and coding 17+ hours of event-level videos to extract timing, behavioral, and safety performance metrics using Python-based analysis.","Conducted evaluations of human–robot arm interactions, annotating and coding 17+ hours of event-level videos to extract timing, behavioral, and safety performance metrics using Python-based analysis.",Python,
