raw_skill_id,original_zip_name,source_project,source_project_zip,source_project_id,source_tex_file,source_line_number,source_entry_start_line,source_entry_end_line,section_name,raw_category,raw_skill_text,raw_entry_text,normalized_skill_key,parse_flags
raw_s000001,Overleaf Projects (77 items).zip,26 summer_ Enterprise Systems_USTA,26 summer_ Enterprise Systems_USTA.zip,project_001_26_summer_enterprise_systems_usta,main.tex,319,319,322,SKILLS,Enterprise & Productivity Tools,SharePoint,"Enterprise & Productivity Tools: SharePoint, Power Automate, Microsoft Excel (VLOOKUPs, Pivot Tables)",sharepoint,
raw_s000002,Overleaf Projects (77 items).zip,26 summer_ Enterprise Systems_USTA,26 summer_ Enterprise Systems_USTA.zip,project_001_26_summer_enterprise_systems_usta,main.tex,319,319,322,SKILLS,Enterprise & Productivity Tools,Power Automate,"Enterprise & Productivity Tools: SharePoint, Power Automate, Microsoft Excel (VLOOKUPs, Pivot Tables)",power_automate,
raw_s000003,Overleaf Projects (77 items).zip,26 summer_ Enterprise Systems_USTA,26 summer_ Enterprise Systems_USTA.zip,project_001_26_summer_enterprise_systems_usta,main.tex,319,319,322,SKILLS,Enterprise & Productivity Tools,"Microsoft Excel (VLOOKUPs, Pivot Tables)","Enterprise & Productivity Tools: SharePoint, Power Automate, Microsoft Excel (VLOOKUPs, Pivot Tables)",microsoft_excel,
raw_s000004,Overleaf Projects (77 items).zip,26 summer_ Enterprise Systems_USTA,26 summer_ Enterprise Systems_USTA.zip,project_001_26_summer_enterprise_systems_usta,main.tex,324,324,326,SKILLS,Data Management& Analytics,Data cleaning,"Data Management& Analytics: Data cleaning, data validation, data transformation, SQL, Python, R",data_cleaning,
raw_s000005,Overleaf Projects (77 items).zip,26 summer_ Enterprise Systems_USTA,26 summer_ Enterprise Systems_USTA.zip,project_001_26_summer_enterprise_systems_usta,main.tex,324,324,326,SKILLS,Data Management& Analytics,data validation,"Data Management& Analytics: Data cleaning, data validation, data transformation, SQL, Python, R",data_validation,
raw_s000006,Overleaf Projects (77 items).zip,26 summer_ Enterprise Systems_USTA,26 summer_ Enterprise Systems_USTA.zip,project_001_26_summer_enterprise_systems_usta,main.tex,324,324,326,SKILLS,Data Management& Analytics,data transformation,"Data Management& Analytics: Data cleaning, data validation, data transformation, SQL, Python, R",data_transformation,
raw_s000007,Overleaf Projects (77 items).zip,26 summer_ Enterprise Systems_USTA,26 summer_ Enterprise Systems_USTA.zip,project_001_26_summer_enterprise_systems_usta,main.tex,324,324,326,SKILLS,Data Management& Analytics,SQL,"Data Management& Analytics: Data cleaning, data validation, data transformation, SQL, Python, R",sql,
raw_s000008,Overleaf Projects (77 items).zip,26 summer_ Enterprise Systems_USTA,26 summer_ Enterprise Systems_USTA.zip,project_001_26_summer_enterprise_systems_usta,main.tex,324,324,326,SKILLS,Data Management& Analytics,Python,"Data Management& Analytics: Data cleaning, data validation, data transformation, SQL, Python, R",python,
raw_s000009,Overleaf Projects (77 items).zip,26 summer_ Enterprise Systems_USTA,26 summer_ Enterprise Systems_USTA.zip,project_001_26_summer_enterprise_systems_usta,main.tex,324,324,326,SKILLS,Data Management& Analytics,R,"Data Management& Analytics: Data cleaning, data validation, data transformation, SQL, Python, R",r,
raw_s000010,Overleaf Projects (77 items).zip,26 summer_ Enterprise Systems_USTA,26 summer_ Enterprise Systems_USTA.zip,project_001_26_summer_enterprise_systems_usta,main.tex,330,330,332,SKILLS,Reporting & Documentation,Tableau dashboards,"Reporting & Documentation: Tableau dashboards, configuration documentation, testing scripts, technical reporting",tableau_dashboards,
raw_s000011,Overleaf Projects (77 items).zip,26 summer_ Enterprise Systems_USTA,26 summer_ Enterprise Systems_USTA.zip,project_001_26_summer_enterprise_systems_usta,main.tex,330,330,332,SKILLS,Reporting & Documentation,configuration documentation,"Reporting & Documentation: Tableau dashboards, configuration documentation, testing scripts, technical reporting",configuration_documentation,
raw_s000012,Overleaf Projects (77 items).zip,26 summer_ Enterprise Systems_USTA,26 summer_ Enterprise Systems_USTA.zip,project_001_26_summer_enterprise_systems_usta,main.tex,330,330,332,SKILLS,Reporting & Documentation,testing scripts,"Reporting & Documentation: Tableau dashboards, configuration documentation, testing scripts, technical reporting",testing_scripts,
raw_s000013,Overleaf Projects (77 items).zip,26 summer_ Enterprise Systems_USTA,26 summer_ Enterprise Systems_USTA.zip,project_001_26_summer_enterprise_systems_usta,main.tex,330,330,332,SKILLS,Reporting & Documentation,technical reporting,"Reporting & Documentation: Tableau dashboards, configuration documentation, testing scripts, technical reporting",technical_reporting,
raw_s000014,Overleaf Projects (77 items).zip,26 summer_ US Open and Enterprise Systems,26 summer_ US Open and Enterprise Systems.zip,project_002_26_summer_us_open_and_enterprise_systems,main.tex,334,334,336,SKILLS,Data & Analytics,Tableau,"Data & Analytics: Tableau, R, Python, SQL, Power BI",tableau,
raw_s000015,Overleaf Projects (77 items).zip,26 summer_ US Open and Enterprise Systems,26 summer_ US Open and Enterprise Systems.zip,project_002_26_summer_us_open_and_enterprise_systems,main.tex,334,334,336,SKILLS,Data & Analytics,R,"Data & Analytics: Tableau, R, Python, SQL, Power BI",r,
raw_s000016,Overleaf Projects (77 items).zip,26 summer_ US Open and Enterprise Systems,26 summer_ US Open and Enterprise Systems.zip,project_002_26_summer_us_open_and_enterprise_systems,main.tex,334,334,336,SKILLS,Data & Analytics,Python,"Data & Analytics: Tableau, R, Python, SQL, Power BI",python,
raw_s000017,Overleaf Projects (77 items).zip,26 summer_ US Open and Enterprise Systems,26 summer_ US Open and Enterprise Systems.zip,project_002_26_summer_us_open_and_enterprise_systems,main.tex,334,334,336,SKILLS,Data & Analytics,SQL,"Data & Analytics: Tableau, R, Python, SQL, Power BI",sql,
raw_s000018,Overleaf Projects (77 items).zip,26 summer_ US Open and Enterprise Systems,26 summer_ US Open and Enterprise Systems.zip,project_002_26_summer_us_open_and_enterprise_systems,main.tex,334,334,336,SKILLS,Data & Analytics,Power BI,"Data & Analytics: Tableau, R, Python, SQL, Power BI",power_bi,
raw_s000019,Overleaf Projects (77 items).zip,26 summer_ US Open and Enterprise Systems,26 summer_ US Open and Enterprise Systems.zip,project_002_26_summer_us_open_and_enterprise_systems,main.tex,340,340,342,SKILLS,Data Visualization & Reporting,Dashboard Design,"Data Visualization & Reporting: Dashboard Design, Data Validation",dashboard_design,
raw_s000020,Overleaf Projects (77 items).zip,26 summer_ US Open and Enterprise Systems,26 summer_ US Open and Enterprise Systems.zip,project_002_26_summer_us_open_and_enterprise_systems,main.tex,340,340,342,SKILLS,Data Visualization & Reporting,Data Validation,"Data Visualization & Reporting: Dashboard Design, Data Validation",data_validation,
raw_s000021,Overleaf Projects (77 items).zip,26 summer_ US Open and Enterprise Systems,26 summer_ US Open and Enterprise Systems.zip,project_002_26_summer_us_open_and_enterprise_systems,main.tex,351,351,354,SKILLS,Enterprise & Productivity Tools,Power Automate,"Enterprise & Productivity Tools: Power Automate, SharePoint, Notion, Microsoft Office Suite",power_automate,
raw_s000022,Overleaf Projects (77 items).zip,26 summer_ US Open and Enterprise Systems,26 summer_ US Open and Enterprise Systems.zip,project_002_26_summer_us_open_and_enterprise_systems,main.tex,351,351,354,SKILLS,Enterprise & Productivity Tools,SharePoint,"Enterprise & Productivity Tools: Power Automate, SharePoint, Notion, Microsoft Office Suite",sharepoint,
raw_s000023,Overleaf Projects (77 items).zip,26 summer_ US Open and Enterprise Systems,26 summer_ US Open and Enterprise Systems.zip,project_002_26_summer_us_open_and_enterprise_systems,main.tex,351,351,354,SKILLS,Enterprise & Productivity Tools,Notion,"Enterprise & Productivity Tools: Power Automate, SharePoint, Notion, Microsoft Office Suite",notion,
raw_s000024,Overleaf Projects (77 items).zip,26 summer_ US Open and Enterprise Systems,26 summer_ US Open and Enterprise Systems.zip,project_002_26_summer_us_open_and_enterprise_systems,main.tex,351,351,354,SKILLS,Enterprise & Productivity Tools,Microsoft Office Suite,"Enterprise & Productivity Tools: Power Automate, SharePoint, Notion, Microsoft Office Suite",microsoft_office_suite,
